x,y
0,0.058823529411764705
1,0.9468531444582876
2,1.0897640332659997
3,1.170455856706872
4,1.225532265272086
5,1.2668115444936559
6,1.2995492396628965
7,1.3265184082912043
8,1.3493512012194606
9,1.369084736761947
10,1.386416635473154
11,1.4018372988708947
12,1.415703805505585
13,1.4282837424716504
14,1.4397824962152226
15,1.450360940045078
16,1.4601472912233011
17,1.4692452919870935
18,1.4777399965711682
19,1.4857019547952885
20,1.493190294998727
21,1.5002550348708947
22,1.5069388400904933
23,1.513278381156314
24,1.5193053932423934
25,1.5250475134361554
26,1.530528948939845
27,1.5357710154017163
28,1.5407925743859154
29,1.5456103917278665
30,1.5502394332604934
31,1.554693110537573
32,1.5589834863177858
33,1.563121447426853
34,1.5671168509902857
35,1.570978648787744
36,1.57471499352321
37,1.578333330061843
38,1.581840474102494
39,1.5852426802961164
40,1.5885457014561655
41,1.5917548402162482
42,1.5948749942565401
43,1.5979106960316047
44,1.6008661477787556
45,1.6037452524607405
46,1.6065516411936391
47,1.6092886976260143
48,1.6119595796650934
49,1.6145672388872998
50,1.6171144379216358
51,1.6196037660534957
52,1.622037653262038
53,1.6244183828751615
54,1.626748103001479
55,1.6290288368777173
56,1.6312624922521086
57,1.633450869909033
58,1.6355956714270554
59,1.6376985062512133
60,1.639760898150666
61,1.64178429112439
62,1.6437700548103051
63,1.6457194894468514
64,1.6476338304305151
65,1.6495142525079576
66,1.6513618736371725
67,1.6531777585483884
68,1.6549629220321642
69,1.6567183319792589
70,1.6584449121943148
71,1.6601435450031556
72,1.661815073671515
73,1.6634603046512446
74,1.6650800096684901
75,1.6666749276669266
76,1.6682457666179016
77,1.6697932052082207
78,1.6713178944153244
79,1.6728204589787052
80,1.6743014987756228
81,1.6757615901084524
82,1.6772012869103614
83,1.6786211218754197
84,1.680021607518733
85,1.6814032371717078
86,1.6827664859171307
87,1.684111811468357
88,1.685439654996551
89,1.6867504419095976
90,1.6880445825860233
91,1.6893224730669891
92,1.6905844957091856
93,1.6918310198012403
94,1.693062402146043
95,1.6942789876112156
96,1.695481109649786
97,1.69666909079297
98,1.6978432431168273
99,1.6990038686844298
